x,y,z,label
-4,231,37,1
7,232,33,1
10,234,37,1
4,242,43,1
0,260,46,1
0,282,51,1
0,285,53,1
0,259,56,1
2,228,57,1
0,213,56,1
-9,207,51,1
-6,213,45,1
-1,227,36,1
10,250,37,1
14,265,37,1
10,275,40,1
-7,276,41,1
-19,266,46,1
-14,252,57,1
-2,234,65,1
2,217,60,1
2,218,41,1
-1,233,20,1
-6,249,21,1
-7,257,39,1
-2,254,55,1
6,242,59,1
8,237,55,1
8,236,48,1
1,241,40,1
-14,254,30,1
-26,262,41,1
-16,261,61,1
-8,256,67,1
-4,253,57,1
-7,243,47,1
-1,227,35,1
12,210,32,1
17,202,34,1
-57,240,86,1
9,235,43,1
-47,282,37,1
-7,290,19,1
0,292,10,1
2,279,20,1
21,229,14,1
24,206,25,1
24,195,49,1
17,209,63,1
2,224,67,1
-20,248,51,1
-21,290,19,1
-4,297,12,1
6,281,31,1
12,257,37,1
13,228,29,1
12,225,43,1
9,227,71,1
2,221,80,1
-12,228,65,1
-23,248,47,1
-17,260,32,1
-3,257,39,1
7,251,51,1
16,237,54,1
12,232,48,1
4,240,47,1
4,244,44,1
-5,253,46,1
-16,256,53,1
-22,257,55,1
-13,258,45,1
-5,256,37,1
-5,241,43,1
0,220,46,1
2,212,48,1
-1,220,48,1
-5,242,49,1
-5,260,50,1
-2,268,53,1
0,268,57,1
2,258,57,1
1,247,49,1
-1,235,40,1
-11,231,39,1
-20,227,35,1
-20,229,31,1
-1,242,38,1
14,256,48,1
14,259,56,1
1,259,60,1
-8,253,58,1
-9,241,53,1
-8,234,49,1
-8,231,46,1
-4,232,44,1
-1,241,41,1
0,249,34,1
2,255,30,1
8,258,34,1
3,257,49,1
-9,249,58,1
-19,244,69,1
-17,239,68,1
-10,235,53,1
1,233,31,1
9,233,26,1
11,235,37,1
3,240,46,1
-6,246,55,1
-15,257,58,1
-18,265,55,1
-9,263,51,1
0,254,44,1
3,240,36,1
5,226,33,1
2,221,39,1
-1,231,43,1
0,250,51,1
-1,263,61,1
-2,263,65,1
-7,255,64,1
-11,247,53,1
-13,239,30,1
-7,229,17,1
1,229,18,1
9,235,35,1
8,242,54,1
0,245,65,1
-7,245,64,1
-7,249,54,1
-1,256,39,1
0,259,30,1
-1,256,34,1
-8,249,39,1
-13,244,38,1
-7,239,42,1
5,237,42,1
14,234,43,1
7,236,45,1
-4,243,52,1
-14,249,54,1
-14,248,49,1
-10,245,43,1
-4,246,42,1
1,250,46,1
11,250,49,1
12,245,47,1
4,243,45,1
0,246,46,1
-3,243,45,1
-10,242,39,1
-14,241,41,1
-11,244,44,1
-1,248,51,1
9,249,50,1
14,250,45,1
10,250,42,1
4,247,42,1
1,243,45,1
-4,239,46,1
-10,238,42,1
-10,241,44,1
-3,251,47,1
4,251,40,1
5,249,35,1
5,248,38,1
-4,253,60,1
-8,244,75,1
2,238,66,1
12,230,46,1
10,234,25,1
-2,237,28,1
-14,251,44,1
-16,253,58,1
-18,245,62,1
-9,245,60,1
0,253,49,1
3,256,38,1
1,253,38,1
-6,250,45,1
-11,251,54,1
-10,246,58,1
-3,239,52,1
3,232,44,1
4,230,33,1
1,228,33,1
-5,231,34,1
-17,250,50,1
-17,258,55,1
-3,262,56,1
8,263,54,1
10,258,57,1
4,246,58,1
4,233,50,1
-2,228,38,1
-13,234,19,1
-23,244,16,1
-10,248,23,1
10,246,36,1
21,244,51,1
14,239,63,1
2,241,61,1
-12,249,43,1
-14,252,24,1
-3,253,30,1
10,253,44,1
13,256,52,1
2,257,56,1
-11,252,61,1
-16,232,54,1
-11,217,36,1
1,215,28,1
13,224,34,1
14,240,45,1
7,256,56,1
-4,264,60,1
-14,267,63,1
-14,264,63,1
-9,259,52,1
-5,248,38,1
0,229,23,1
6,223,26,1
11,233,45,1
12,241,55,1
4,243,55,1
-7,237,56,1
-21,237,57,1
-22,252,50,1
-6,262,36,1
9,263,24,1
16,259,29,1
15,249,41,1
8,239,48,1
-4,231,49,1
-10,237,47,1
-5,242,45,1
18,242,43,1
-9,217,53,1
-53,217,40,1
-41,245,23,1
-6,263,23,1
19,266,35,1
16,262,49,1
-2,256,54,1
-20,256,46,1
-21,255,35,1
-18,248,27,1
-12,236,21,1
2,223,24,1
10,213,37,1
17,219,52,1
7,235,61,1
-5,244,61,1
-26,263,43,1
-22,269,28,1
-3,266,29,1
15,263,34,1
20,257,38,1
17,248,38,1
4,231,35,1
-9,220,37,1
-17,218,38,1
-12,226,41,1
0,242,34,1
5,250,37,1
8,252,47,1
7,248,53,1
0,254,54,1
-5,271,43,1
1,279,29,1
-5,268,24,1
-4,231,37,1
0,201,41,1
-2,198,36,1
-9,216,36,1
-9,247,39,1
-3,275,43,1
6,280,55,1
5,268,61,1
2,252,58,1
4,235,50,1
0,230,38,1
-5,236,16,1
-9,250,10,1
-3,255,25,1
2,258,41,1
9,249,54,1
16,233,64,1
15,218,66,1
2,217,55,1
-5,232,44,1
0,244,35,1
5,255,43,1
6,264,55,1
4,268,55,1
5,263,42,1
4,257,24,1
2,246,26,1
-10,245,47,1
-33,254,59,1
-40,240,54,1
-28,215,47,1
-5,206,46,1
16,216,49,1
26,236,48,1
7,258,34,1
-19,270,33,1
-26,277,50,1
-10,273,55,1
9,259,58,1
19,234,56,1
10,223,46,1
-11,226,36,1
-35,234,31,1
-27,240,36,1
-1,250,44,1
17,250,49,1
21,245,50,1
12,236,53,1
-3,237,51,1
-20,266,107,1
-15,243,18,1
-2,244,2,1
5,247,13,1
3,255,32,1
-1,264,49,1
-2,263,49,1
3,253,47,1
0,239,53,1
-7,226,51,1
-11,219,38,1
-11,218,32,1
0,225,32,1
10,232,41,1
14,246,53,1
6,260,62,1
-18,268,60,1
-46,262,44,1
2,296,41,1
-34,264,33,1
-17,257,33,1
3,234,38,1
20,212,44,1
28,201,50,1
17,205,52,1
1,228,53,1
-11,255,44,1
-21,272,38,1
-19,270,35,1
-10,262,33,1
-2,259,36,1
3,254,57,1
1,240,64,1
4,227,60,1
6,231,41,1
2,235,22,1
-2,236,21,1
-3,237,34,1
-6,242,50,1
-4,255,63,1
7,260,69,1
16,255,63,1
10,245,45,1
-4,246,29,1
-14,252,19,1
-11,253,28,1
0,253,47,1
9,248,52,1
6,236,56,1
3,226,60,1
2,219,59,1
0,232,45,1
1,250,38,1
2,256,39,1
1,257,44,1
0,256,53,1
-9,256,66,1
-10,251,80,1
-2,244,72,1
0,239,54,1
-1,228,38,1
-2,219,32,1
0,226,36,1
1,248,45,1
-7,271,52,1
-17,278,60,1
-12,270,65,1
-5,255,63,1
0,239,51,1
3,220,38,1
9,215,36,1
16,223,43,1
6,235,49,1
-9,246,57,1
-17,255,60,1
-7,258,56,1
0,260,43,1
2,257,36,1
8,248,37,1
9,239,46,1
9,240,55,1
5,244,55,1
-3,249,47,1
-13,245,38,1
-16,236,36,1
-8,232,42,1
6,236,43,1
13,241,43,1
7,252,46,1
0,257,51,1
-4,259,55,1
-3,256,52,1
-1,252,45,1
-3,248,41,1
-8,244,42,1
-5,239,45,1
3,232,48,1
10,232,43,1
24,228,36,1
4,231,42,1
1,240,51,1
-8,250,52,1
-8,260,49,1
-1,269,49,1
5,263,50,1
7,250,45,1
7,235,37,1
0,234,41,1
-7,238,48,1
-9,243,48,1
-3,247,49,1
3,249,48,1
4,249,40,1
1,246,34,1
-2,239,41,1
-3,232,49,1
-1,233,54,1
2,245,54,1
8,254,52,1
4,261,43,1
0,262,36,1
-9,257,33,1
-13,246,35,1
-12,230,43,1
-6,221,53,1
3,218,57,1
14,235,56,1
14,256,46,1
6,272,40,1
2,274,37,1
-3,260,39,1
-11,241,44,1
-20,221,49,1
-17,217,54,1
-6,221,55,1
13,237,54,1
25,256,47,1
21,270,39,1
9,268,34,1
-9,259,34,1
-27,249,39,1
-29,237,50,1
-13,223,63,1
12,217,60,1
29,221,52,1
21,234,38,1
-3,248,31,1
-20,259,33,1
-18,268,48,1
-3,274,58,1
4,273,53,1
1,268,50,1
-1,238,55,1
-5,205,56,1
-11,194,46,1
-12,203,38,1
0,231,33,1
8,260,33,1
12,279,42,1
13,279,55,1
5,269,65,1
-13,255,68,1
-21,235,65,1
-13,223,57,1
1,223,46,1
14,232,30,1
17,246,31,1
6,254,46,1
-8,251,52,1
-16,245,47,1
-15,238,45,1
-6,237,49,1
6,241,59,1
17,245,64,1
15,249,61,1
6,258,49,1
-2,267,31,1
-7,265,19,1
-12,250,24,1
-6,230,37,1
-2,220,51,1
6,214,61,1
-1,210,51,1
7,231,46,1
3,258,36,1
3,271,36,1
2,276,45,1
-11,272,59,1
-16,254,63,1
-18,238,59,1
-17,229,51,1
-4,228,41,1
14,232,35,1
23,229,35,1
17,231,41,1
-1,248,59,1
-27,258,64,1
-38,256,59,1
-30,253,56,1
-15,254,54,1
0,252,57,1
12,246,59,1
17,235,58,1
6,227,47,1
-17,228,37,1
-35,235,27,1
-32,247,31,1
-6,250,34,1
18,256,52,1
27,256,57,1
12,260,58,1
-9,254,61,1
-23,245,49,1
-19,235,40,1
-5,224,40,1
14,226,39,1
28,232,47,1
27,241,54,1
-1,248,45,1
-15,256,39,1
-17,255,39,1
-20,256,43,1
-9,255,52,1
5,250,64,1
10,244,66,1
10,240,59,1
9,236,39,1
9,226,27,1
5,224,29,1
-8,235,37,1
-15,248,43,1
-9,262,50,1
-2,269,49,1
2,265,51,1
9,251,51,1
9,238,41,1
2,232,39,1
-3,233,46,1
-2,231,56,1
1,235,49,1
-3,241,46,1
-11,244,44,1
-12,247,43,1
-9,252,33,1
-4,255,32,1
9,257,44,1
23,251,51,1
20,244,52,1
-3,245,49,1
-29,243,44,1
-29,245,41,1
-15,239,44,1
5,237,36,1
10,232,39,1
10,236,48,1
5,242,57,1
-1,251,54,1
-6,255,47,1
-10,258,38,1
-6,262,37,1
0,261,39,1
5,254,46,1
1,238,51,1
-3,223,49,1
-2,215,43,1
3,219,39,1
8,236,35,1
5,257,31,1
-5,263,37,1
-12,263,46,1
-8,252,54,1
0,240,54,1
5,231,51,1
3,232,44,1
0,244,43,1
-2,258,49,1
-7,268,52,1
-12,266,55,1
-11,256,53,1
-1,245,46,1
10,234,41,1
15,218,35,1
5,209,36,1
-14,216,44,1
-26,233,50,1
-17,254,55,1
0,264,49,1
12,268,47,1
12,262,54,1
7,256,54,1
-2,247,48,1
-11,244,45,1
-12,249,45,1
-3,244,53,1
11,231,51,1
14,227,41,1
8,226,34,1
-4,240,41,1
-17,256,52,1
-18,264,49,1
-9,254,58,1
5,246,63,1
9,248,66,1
8,251,55,1
7,241,41,1
9,225,34,1
11,221,34,1
5,235,37,1
-5,253,45,1
-13,268,47,1
-11,274,59,1
-5,271,62,1
-1,254,58,1
3,235,43,1
10,224,26,1
10,208,16,1
7,197,33,1
6,210,56,1
-12,248,65,1
-28,282,59,1
-21,296,59,1
-1,286,69,1
11,268,77,1
13,249,76,1
9,223,59,1
3,204,34,1
-11,204,18,1
-18,210,18,1
-3,231,34,1
18,263,57,1
23,278,74,1
12,271,81,1
4,262,81,1
4,253,63,1
3,239,44,1
-9,229,37,1
-23,231,35,1
-15,222,37,1
7,226,36,1
31,242,41,1
34,254,44,1
19,255,45,1
0,253,47,1
-26,250,55,1
-48,251,56,1
-42,253,58,1
3,245,64,1
39,244,56,1
43,242,45,1
30,232,33,1
7,223,20,1
-18,226,23,1
-40,242,40,1
-35,262,59,1
2,270,69,1
29,255,75,1
27,240,68,1
3,237,57,1
-11,236,47,1
-11,228,36,1
0,224,30,1
13,244,40,1
13,268,51,1
4,270,54,1
-9,254,63,1
-15,237,67,1
-9,230,60,1
5,230,41,1
12,231,26,1
9,245,32,1
4,257,46,1
-4,257,55,1
-17,255,61,1
-18,249,69,1
-12,243,69,1
-1,237,61,1
7,232,44,1
11,233,24,1
11,241,18,1
1,249,32,1
-17,257,49,1
-25,260,58,1
-13,253,64,1
3,234,66,1
9,218,57,1
2,221,38,1
-11,238,26,1
-14,254,26,1
-4,268,46,1
12,271,64,1
19,262,64,1
19,247,51,1
13,237,33,1
-8,230,28,1
-27,226,35,1
-21,227,44,1
7,233,53,1
27,244,61,1
27,252,60,1
14,255,43,1
-9,257,34,1
-36,260,39,1
-36,254,53,1
-13,239,62,1
7,225,61,1
18,219,50,1
18,224,39,1
2,244,29,1
-19,263,20,1
-29,273,27,1
-17,263,46,1
0,250,66,1
9,236,73,1
16,225,64,1
11,227,44,1
4,234,28,1
-1,234,20,1
-7,238,38,1
-14,245,58,1
-13,256,65,1
-4,263,58,1
2,262,43,1
7,254,31,1
12,242,32,1
8,237,39,1
0,240,48,1
-12,249,51,1
-13,253,50,1
-7,249,48,1
1,237,42,1
5,229,36,1
3,226,32,1
3,228,31,1
2,239,37,1
0,252,41,1
-1,266,49,1
-4,274,51,1
-2,270,49,1
1,251,51,1
-1,231,54,1
2,219,48,1
4,222,42,1
4,235,37,1
-2,251,32,1
-5,256,32,1
-4,257,36,1
0,254,47,1
6,245,58,1
6,236,59,1
1,235,52,1
-8,240,42,1
-12,247,37,1
-6,252,41,1
1,251,45,1
7,250,45,1
11,247,43,1
6,243,47,1
-2,239,54,1
-12,237,53,1
-10,239,42,1
-1,244,29,1
5,252,30,1
6,254,42,1
0,255,56,1
-6,251,62,1
-5,248,61,1
2,247,54,1
6,243,42,1
6,240,33,1
4,232,28,1
0,230,32,1
-7,236,43,1
-10,242,51,1
-3,247,54,1
5,253,51,1
8,257,46,1
4,259,42,1
-1,257,47,1
0,252,51,1
2,244,51,1
4,236,45,1
4,232,38,1
-2,231,33,1
