coverage,tahun,sales,latitude,longitude
Kab. Gresik,2014, 277.34 ,-7.15665,112.6555
Kab. Bangkalan,2014, 208.39 ,-7.0306912,112.7450068
Kab. Sampang,2014, 204.99 ,-7.5782556,109.2058436
Kab. Pamekasan,2014, 170.51 ,-7.1666667,113.4666667
Kab. Sumenep,2014, 188.30 ,-6.9253999,113.9060624
Kab. Pasuruan,2014, 322.10 ,-6.8623098,108.8001936
Kab. Mojokerto,2014, 225.89 ,-7.488075,112.427027
Kota Surabaya,2014, 573.32 ,-7.289166,112.734398
Kab. Sidoarjo,2014, 469.57 ,-7.4530278,112.7173389
Kab. Malang,2014, 28.33 ,-8.0495643,112.6884549
Kota Batu,2014, 2.30 ,-7.8671,112.5239
Kab. Kediri,2014, 115.42 ,-7.809356,112.032356
Kab. Blitar,2014, 80.04 ,-8.1014419,112.162762
Kab. Madiun,2014, 43.58 ,-7.627753,111.505483
Kab. Ponorogo,2014, 51.93 ,-7.867827,111.466003
Kab. Tulungagung,2014, 72.15 ,-8.0666667,111.9
Kab. Lumajang,2014, 91.55 ,-8.137022,113.226601
Kab. Jember,2014, 229.18 ,-8.172357,113.700302
Kab. Banyuwangi,2014, 144.73 ,-8.2186111,114.3669444
Kab. Probolinggo,2014, 111.33 ,-7.753965,113.210675
Kab. Bondowoso,2014, 64.74 ,-7.917704,113.813483
Kab. Situbondo,2014, 56.94 ,-7.702534,113.955605
Kab. Gresik,2015, 327.14 ,-7.15665,112.6555
Kab. Bangkalan,2015, 245.81 ,-7.0306912,112.7450068
Kab. Sampang,2015, 241.80 ,-7.5782556,109.2058436
Kab. Pamekasan,2015, 201.13 ,-7.1666667,113.4666667
Kab. Sumenep,2015, 222.12 ,-6.9253999,113.9060624
Kab. Pasuruan,2015, 379.95 ,-6.8623098,108.8001936
Kab. Mojokerto,2015, 266.46 ,-7.488075,112.427027
Kota Surabaya,2015, 676.28 ,-7.289166,112.734398
Kab. Sidoarjo,2015, 553.90 ,-7.4530278,112.7173389
Kab. Malang,2015, 14.24 ,-8.0495643,112.6884549
Kota Batu,2015, 1.16 ,-7.8671,112.5239
Kab. Kediri,2015, 153.87 ,-7.809356,112.032356
Kab. Blitar,2015, 106.71 ,-8.1014419,112.162762
Kab. Madiun,2015, 58.10 ,-7.627753,111.505483
Kab. Ponorogo,2015, 69.23 ,-7.867827,111.466003
Kab. Tulungagung,2015, 96.19 ,-8.0666667,111.9
Kab. Lumajang,2015, 94.76 ,-8.137022,113.226601
Kab. Jember,2015, 237.20 ,-8.172357,113.700302
Kab. Banyuwangi,2015, 149.80 ,-8.2186111,114.3669444
Kab. Probolinggo,2015, 115.23 ,-7.753965,113.210675
Kab. Bondowoso,2015, 67.00 ,-7.917704,113.813483
Kab. Situbondo,2015, 58.94 ,-7.702534,113.955605
Kab. Gresik,2016, 465.88 ,-7.15665,112.6555
Kab. Bangkalan,2016, 350.06 ,-7.0306912,112.7450068
Kab. Sampang,2016, 344.35 ,-7.5782556,109.2058436
Kab. Pamekasan,2016, 286.43 ,-7.1666667,113.4666667
Kab. Sumenep,2016, 316.32 ,-6.9253999,113.9060624
Kab. Pasuruan,2016, 541.08 ,-6.8623098,108.8001936
Kab. Mojokerto,2016, 379.46 ,-7.488075,112.427027
Kota Surabaya,2016, 963.09 ,-7.289166,112.734398
Kab. Sidoarjo,2016, 788.81 ,-7.4530278,112.7173389
Kab. Malang,2016, 9.78 ,-8.0495643,112.6884549
Kota Batu,2016, 0.79 ,-7.8671,112.5239
Kab. Kediri,2016, 191.09 ,-7.809356,112.032356
Kab. Blitar,2016, 132.52 ,-8.1014419,112.162762
Kab. Madiun,2016, 72.15 ,-7.627753,111.505483
Kab. Ponorogo,2016, 85.97 ,-7.867827,111.466003
Kab. Tulungagung,2016, 119.45 ,-8.0666667,111.9
Kab. Lumajang,2016, 133.91 ,-8.137022,113.226601
Kab. Jember,2016, 335.20 ,-8.172357,113.700302
Kab. Banyuwangi,2016, 211.68 ,-8.2186111,114.3669444
Kab. Probolinggo,2016, 162.83 ,-7.753965,113.210675
Kab. Bondowoso,2016, 94.69 ,-7.917704,113.813483
Kab. Situbondo,2016, 83.29 ,-7.702534,113.955605
